[14:45:08] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=0 tok/step=65,536
[17:47:21] step  1140/2000  ce 4.1877  lr 9.08e-04  |grad| 0.19  mem 57.4GB  tok/s 6,836
[17:48:56] step  1150/2000  ce 4.1086  lr 8.96e-04  |grad| 0.19  mem 57.4GB  tok/s 6,837
[17:50:30] step  1160/2000  ce 3.8044  lr 8.85e-04  |grad| 0.21  mem 57.4GB  tok/s 6,838
[17:52:05] step  1170/2000  ce 4.1796  lr 8.74e-04  |grad| 0.19  mem 57.4GB  tok/s 6,838
[17:53:40] step  1180/2000  ce 4.0592  lr 8.63e-04  |grad| 0.18  mem 57.4GB  tok/s 6,839
[17:55:15] step  1190/2000  ce 4.0557  lr 8.52e-04  |grad| 0.18  mem 57.4GB  tok/s 6,840
[17:56:50] step  1200/2000  ce 4.1651  lr 8.41e-04  |grad| 0.20  mem 57.4GB  tok/s 6,840
[17:58:24] step  1210/2000  ce 4.0058  lr 8.30e-04  |grad| 0.22  mem 57.4GB  tok/s 6,841
[17:59:59] step  1220/2000  ce 4.0716  lr 8.19e-04  |grad| 0.20  mem 57.4GB  tok/s 6,841
[18:01:34] step  1230/2000  ce 3.9493  lr 8.08e-04  |grad| 0.20  mem 57.4GB  tok/s 6,842
[18:03:09] step  1240/2000  ce 3.8284  lr 7.97e-04  |grad| 0.21  mem 57.4GB  tok/s 6,842
[18:04:44] step  1250/2000  ce 3.9489  lr 7.86e-04  |grad| 0.19  mem 57.4GB  tok/s 6,843
[18:04:47]   [ckpt @ 1250] -> checkpoint_ln_seed0.pt
[18:06:22] step  1260/2000  ce 4.0203  lr 7.75e-04  |grad| 0.18  mem 57.4GB  tok/s 6,841
[18:07:57] step  1270/2000  ce 3.9736  lr 7.65e-04  |grad| 0.18  mem 57.4GB  tok/s 6,842
[18:09:32] step  1280/2000  ce 3.7125  lr 7.54e-04  |grad| 0.19  mem 57.4GB  tok/s 6,843
[18:11:07] step  1290/2000  ce 3.8707  lr 7.43e-04  |grad| 0.18  mem 57.4GB  tok/s 6,843
[18:12:41] step  1300/2000  ce 4.0242  lr 7.33e-04  |grad| 0.18  mem 57.4GB  tok/s 6,844
[18:14:16] step  1310/2000  ce 3.9686  lr 7.22e-04  |grad| 0.19  mem 57.4GB  tok/s 6,844
[18:15:51] step  1320/2000  ce 4.2376  lr 7.12e-04  |grad| 0.19  mem 57.4GB  tok/s 6,845
[18:17:26] step  1330/2000  ce 4.1988  lr 7.02e-04  |grad| 0.18  mem 57.4GB  tok/s 6,845
[18:19:01] step  1340/2000  ce 4.0139  lr 6.92e-04  |grad| 0.19  mem 57.4GB  tok/s 6,846
[18:20:36] step  1350/2000  ce 3.9082  lr 6.82e-04  |grad| 0.18  mem 57.4GB  tok/s 6,846
[18:22:11] step  1360/2000  ce 4.0178  lr 6.72e-04  |grad| 0.18  mem 57.4GB  tok/s 6,846
[18:23:45] step  1370/2000  ce 4.0455  lr 6.62e-04  |grad| 0.17  mem 57.4GB  tok/s 6,847
