[03:47:10] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[07:31:26] step  1380/2000  ce 4.0853  lr 6.52e-04  |grad| 0.21  mem 59.2GB  tok/s 6,723
[07:33:03] step  1390/2000  ce 3.9722  lr 6.42e-04  |grad| 0.19  mem 59.2GB  tok/s 6,724
[07:34:40] step  1400/2000  ce 3.9625  lr 6.33e-04  |grad| 0.18  mem 59.2GB  tok/s 6,724
[07:36:17] step  1410/2000  ce 3.9811  lr 6.23e-04  |grad| 0.20  mem 59.2GB  tok/s 6,724
[07:37:54] step  1420/2000  ce 3.7950  lr 6.14e-04  |grad| 0.18  mem 59.2GB  tok/s 6,724
[07:39:32] step  1430/2000  ce 3.8480  lr 6.04e-04  |grad| 0.18  mem 59.2GB  tok/s 6,724
[07:41:09] step  1440/2000  ce 3.9224  lr 5.95e-04  |grad| 0.39  mem 59.2GB  tok/s 6,724
[07:42:46] step  1450/2000  ce 3.8961  lr 5.86e-04  |grad| 0.19  mem 59.2GB  tok/s 6,725
[07:44:23] step  1460/2000  ce 3.7978  lr 5.77e-04  |grad| 0.18  mem 59.2GB  tok/s 6,725
[07:46:00] step  1470/2000  ce 3.9450  lr 5.68e-04  |grad| 0.18  mem 59.2GB  tok/s 6,725
[07:47:37] step  1480/2000  ce 3.9185  lr 5.60e-04  |grad| 0.18  mem 59.2GB  tok/s 6,725
[07:49:15] step  1490/2000  ce 3.8331  lr 5.51e-04  |grad| 0.18  mem 59.2GB  tok/s 6,725
[07:50:52] step  1500/2000  ce 3.8252  lr 5.43e-04  |grad| 0.18  mem 59.2GB  tok/s 6,725
[07:51:01]   [eval @ 1500] val PPL=47.77
[07:51:04]   [ckpt @ 1500] -> checkpoint_vr_seed1.pt
[07:52:41] step  1510/2000  ce 3.9482  lr 5.34e-04  |grad| 0.18  mem 59.2GB  tok/s 6,720
[07:54:18] step  1520/2000  ce 3.7125  lr 5.26e-04  |grad| 0.18  mem 59.2GB  tok/s 6,720
[07:55:56] step  1530/2000  ce 4.0372  lr 5.18e-04  |grad| 0.19  mem 59.2GB  tok/s 6,720
[07:57:33] step  1540/2000  ce 3.9021  lr 5.10e-04  |grad| 0.18  mem 59.2GB  tok/s 6,720
[07:59:10] step  1550/2000  ce 3.9032  lr 5.02e-04  |grad| 0.20  mem 59.2GB  tok/s 6,720
[08:00:47] step  1560/2000  ce 3.9061  lr 4.95e-04  |grad| 0.19  mem 59.2GB  tok/s 6,720
[08:02:24] step  1570/2000  ce 3.7976  lr 4.87e-04  |grad| 0.17  mem 59.2GB  tok/s 6,721
[08:04:02] step  1580/2000  ce 4.0146  lr 4.80e-04  |grad| 0.17  mem 59.2GB  tok/s 6,721
[08:05:39] step  1590/2000  ce 3.6786  lr 4.73e-04  |grad| 0.19  mem 59.2GB  tok/s 6,721
[08:07:16] step  1600/2000  ce 3.9481  lr 4.65e-04  |grad| 0.18  mem 59.2GB  tok/s 6,721
[08:08:53] step  1610/2000  ce 3.9481  lr 4.59e-04  |grad| 0.18  mem 59.2GB  tok/s 6,721
[08:10:30] step  1620/2000  ce 3.9160  lr 4.52e-04  |grad| 0.18  mem 59.2GB  tok/s 6,721
[08:12:07] step  1630/2000  ce 3.9972  lr 4.45e-04  |grad| 0.18  mem 59.2GB  tok/s 6,721
[08:13:44] step  1640/2000  ce 3.7354  lr 4.39e-04  |grad| 0.17  mem 59.2GB  tok/s 6,722
[08:15:22] step  1650/2000  ce 3.9958  lr 4.32e-04  |grad| 0.18  mem 59.2GB  tok/s 6,722
[08:16:59] step  1660/2000  ce 3.7740  lr 4.26e-04  |grad| 0.17  mem 59.2GB  tok/s 6,722
[08:18:36] step  1670/2000  ce 3.8359  lr 4.20e-04  |grad| 0.17  mem 59.2GB  tok/s 6,722
[08:20:13] step  1680/2000  ce 3.9439  lr 4.14e-04  |grad| 0.17  mem 59.2GB  tok/s 6,722
[08:21:50] step  1690/2000  ce 3.7787  lr 4.09e-04  |grad| 0.18  mem 59.2GB  tok/s 6,722
[08:23:28] step  1700/2000  ce 3.8557  lr 4.03e-04  |grad| 0.19  mem 59.2GB  tok/s 6,722
