[17:23:31] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=0 tok/step=65,536
[21:43:51] step  1640/2000  ce 4.2355  lr 4.39e-04  |grad| 0.19  mem 57.4GB  tok/s 6,883
[21:45:26] step  1650/2000  ce 4.1883  lr 4.32e-04  |grad| 0.19  mem 57.4GB  tok/s 6,883
[21:47:01] step  1660/2000  ce 4.0129  lr 4.26e-04  |grad| 0.25  mem 57.4GB  tok/s 6,883
[21:48:36] step  1670/2000  ce 3.9818  lr 4.20e-04  |grad| 0.19  mem 57.4GB  tok/s 6,883
[21:50:11] step  1680/2000  ce 4.2259  lr 4.14e-04  |grad| 0.18  mem 57.4GB  tok/s 6,883
[21:51:45] step  1690/2000  ce 4.1633  lr 4.09e-04  |grad| 0.18  mem 57.4GB  tok/s 6,883
[21:53:20] step  1700/2000  ce 3.9296  lr 4.03e-04  |grad| 0.17  mem 57.4GB  tok/s 6,884
[21:54:55] step  1710/2000  ce 4.1019  lr 3.98e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[21:56:30] step  1720/2000  ce 4.2400  lr 3.93e-04  |grad| 0.23  mem 57.4GB  tok/s 6,884
[21:58:05] step  1730/2000  ce 4.3853  lr 3.88e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[21:59:40] step  1740/2000  ce 3.8561  lr 3.83e-04  |grad| 0.19  mem 57.4GB  tok/s 6,884
[22:01:14] step  1750/2000  ce 4.2366  lr 3.78e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:01:18]   [ckpt @ 1750] -> checkpoint_mix_seed0.pt
[22:02:53] step  1760/2000  ce 3.8939  lr 3.74e-04  |grad| 0.20  mem 57.4GB  tok/s 6,883
[22:04:28] step  1770/2000  ce 4.0072  lr 3.69e-04  |grad| 0.18  mem 57.4GB  tok/s 6,883
[22:06:03] step  1780/2000  ce 3.9151  lr 3.65e-04  |grad| 0.17  mem 57.4GB  tok/s 6,883
[22:07:38] step  1790/2000  ce 4.0619  lr 3.61e-04  |grad| 0.17  mem 57.4GB  tok/s 6,883
[22:09:13] step  1800/2000  ce 4.1081  lr 3.57e-04  |grad| 0.19  mem 57.4GB  tok/s 6,884
[22:10:47] step  1810/2000  ce 4.0046  lr 3.54e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:12:23] step  1820/2000  ce 4.0672  lr 3.50e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:13:57] step  1830/2000  ce 3.7009  lr 3.47e-04  |grad| 0.17  mem 57.4GB  tok/s 6,884
[22:15:32] step  1840/2000  ce 4.1362  lr 3.44e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:17:07] step  1850/2000  ce 4.0194  lr 3.41e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:18:42] step  1860/2000  ce 4.1030  lr 3.38e-04  |grad| 0.17  mem 57.4GB  tok/s 6,884
[22:20:17] step  1870/2000  ce 3.9487  lr 3.36e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:21:52] step  1880/2000  ce 3.9840  lr 3.34e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:23:27] step  1890/2000  ce 4.0358  lr 3.31e-04  |grad| 0.20  mem 57.4GB  tok/s 6,884
[22:25:02] step  1900/2000  ce 4.0608  lr 3.29e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:26:37] step  1910/2000  ce 3.9363  lr 3.28e-04  |grad| 0.18  mem 57.4GB  tok/s 6,884
[22:28:12] step  1920/2000  ce 3.9755  lr 3.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,885
[22:29:47] step  1930/2000  ce 3.8357  lr 3.25e-04  |grad| 0.17  mem 57.4GB  tok/s 6,885
[22:31:22] step  1940/2000  ce 3.8941  lr 3.23e-04  |grad| 0.18  mem 57.4GB  tok/s 6,885
[22:32:57] step  1950/2000  ce 3.6645  lr 3.22e-04  |grad| 0.21  mem 57.4GB  tok/s 6,885
[22:34:32] step  1960/2000  ce 3.7859  lr 3.22e-04  |grad| 0.18  mem 57.4GB  tok/s 6,885
[22:36:07] step  1970/2000  ce 3.8220  lr 3.21e-04  |grad| 0.17  mem 57.4GB  tok/s 6,885
[22:37:42] step  1980/2000  ce 3.8710  lr 3.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,885
[22:39:17] step  1990/2000  ce 4.0351  lr 3.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,885
[22:40:52] step  2000/2000  ce 4.2235  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,885
[22:41:01]   [eval @ 2000] val PPL=48.43
[22:41:05]   [ckpt @ 2000] -> checkpoint_mix_seed0.pt
[22:41:08] DONE
