[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[08:00:17] step  1250/2000  ce 4.3160  lr 7.86e-04  |grad| 0.26  mem 57.4GB  tok/s 6,861
[08:00:21]   [ckpt @ 1250] -> checkpoint_treatment_seed2.pt
[08:01:56] step  1260/2000  ce 4.3415  lr 7.75e-04  |grad| 0.19  mem 57.4GB  tok/s 6,860
[08:03:31] step  1270/2000  ce 4.2266  lr 7.65e-04  |grad| 0.24  mem 57.4GB  tok/s 6,860
[08:05:06] step  1280/2000  ce 4.1596  lr 7.54e-04  |grad| 0.22  mem 57.4GB  tok/s 6,860
[08:06:41] step  1290/2000  ce 4.4080  lr 7.43e-04  |grad| 0.20  mem 57.4GB  tok/s 6,860
[08:08:16] step  1300/2000  ce 4.2457  lr 7.33e-04  |grad| 0.21  mem 57.4GB  tok/s 6,860
[08:09:51] step  1310/2000  ce 4.4594  lr 7.22e-04  |grad| 0.20  mem 57.4GB  tok/s 6,861
[08:11:26] step  1320/2000  ce 4.3770  lr 7.12e-04  |grad| 0.22  mem 57.4GB  tok/s 6,861
[08:13:01] step  1330/2000  ce 4.2870  lr 7.02e-04  |grad| 0.21  mem 57.4GB  tok/s 6,861
[08:14:36] step  1340/2000  ce 4.3534  lr 6.92e-04  |grad| 0.20  mem 57.4GB  tok/s 6,861
[08:16:12] step  1350/2000  ce 4.2670  lr 6.82e-04  |grad| 0.20  mem 57.4GB  tok/s 6,862
[08:17:47] step  1360/2000  ce 4.2544  lr 6.72e-04  |grad| 0.21  mem 57.4GB  tok/s 6,862
[08:19:22] step  1370/2000  ce 4.0830  lr 6.62e-04  |grad| 0.24  mem 57.4GB  tok/s 6,862
[08:20:57] step  1380/2000  ce 4.2827  lr 6.52e-04  |grad| 0.18  mem 57.4GB  tok/s 6,862
[08:22:32] step  1390/2000  ce 4.2239  lr 6.42e-04  |grad| 0.21  mem 57.4GB  tok/s 6,863
[08:24:07] step  1400/2000  ce 4.1244  lr 6.33e-04  |grad| 0.21  mem 57.4GB  tok/s 6,863
