[00:11:50] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[04:08:52] step  1500/2000  ce 4.0460  lr 5.43e-04  |grad| 0.20  mem 57.4GB  tok/s 6,914
[04:09:01]   [eval @ 1500] val PPL=53.15
[04:09:05]   [ckpt @ 1500] -> checkpoint_baseline_seed2.pt
[04:10:39] step  1510/2000  ce 3.8686  lr 5.34e-04  |grad| 0.20  mem 57.4GB  tok/s 6,908
[04:12:14] step  1520/2000  ce 4.2359  lr 5.26e-04  |grad| 0.18  mem 57.4GB  tok/s 6,908
[04:13:48] step  1530/2000  ce 4.1100  lr 5.18e-04  |grad| 0.20  mem 57.4GB  tok/s 6,908
[04:15:23] step  1540/2000  ce 4.0609  lr 5.10e-04  |grad| 0.24  mem 57.4GB  tok/s 6,909
[04:16:57] step  1550/2000  ce 4.2808  lr 5.02e-04  |grad| 0.19  mem 57.4GB  tok/s 6,909
[04:18:32] step  1560/2000  ce 4.0938  lr 4.95e-04  |grad| 0.20  mem 57.4GB  tok/s 6,909
[04:20:06] step  1570/2000  ce 3.9474  lr 4.87e-04  |grad| 0.18  mem 57.4GB  tok/s 6,909
[04:21:41] step  1580/2000  ce 3.7783  lr 4.80e-04  |grad| 0.18  mem 57.4GB  tok/s 6,909
[04:23:16] step  1590/2000  ce 4.0508  lr 4.73e-04  |grad| 0.19  mem 57.4GB  tok/s 6,909
[04:24:50] step  1600/2000  ce 4.0229  lr 4.65e-04  |grad| 0.18  mem 57.4GB  tok/s 6,909
[04:26:25] step  1610/2000  ce 3.8601  lr 4.59e-04  |grad| 0.18  mem 57.4GB  tok/s 6,910
[04:27:59] step  1620/2000  ce 3.7029  lr 4.52e-04  |grad| 0.17  mem 57.4GB  tok/s 6,910
[04:29:33] step  1630/2000  ce 4.0432  lr 4.45e-04  |grad| 0.18  mem 57.4GB  tok/s 6,910
[04:31:08] step  1640/2000  ce 3.8494  lr 4.39e-04  |grad| 0.18  mem 57.4GB  tok/s 6,910
[04:32:42] step  1650/2000  ce 3.9171  lr 4.32e-04  |grad| 0.17  mem 57.4GB  tok/s 6,910
[04:34:17] step  1660/2000  ce 3.8605  lr 4.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,910
[04:35:51] step  1670/2000  ce 3.6782  lr 4.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,911
[04:37:26] step  1680/2000  ce 4.0843  lr 4.14e-04  |grad| 0.17  mem 57.4GB  tok/s 6,911
[04:39:00] step  1690/2000  ce 3.7450  lr 4.09e-04  |grad| 0.20  mem 57.4GB  tok/s 6,911
[04:40:35] step  1700/2000  ce 3.9927  lr 4.03e-04  |grad| 0.18  mem 57.4GB  tok/s 6,911
[04:42:09] step  1710/2000  ce 3.9423  lr 3.98e-04  |grad| 0.18  mem 57.4GB  tok/s 6,911
[04:43:44] step  1720/2000  ce 3.8170  lr 3.93e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[04:45:18] step  1730/2000  ce 3.9764  lr 3.88e-04  |grad| 0.17  mem 57.4GB  tok/s 6,911
[04:46:53] step  1740/2000  ce 3.9618  lr 3.83e-04  |grad| 0.17  mem 57.4GB  tok/s 6,912
[04:48:27] step  1750/2000  ce 4.0226  lr 3.78e-04  |grad| 0.17  mem 57.4GB  tok/s 6,912
[04:48:31]   [ckpt @ 1750] -> checkpoint_baseline_seed2.pt
[04:50:05] step  1760/2000  ce 3.9767  lr 3.74e-04  |grad| 0.18  mem 57.4GB  tok/s 6,910
[04:51:40] step  1770/2000  ce 3.8513  lr 3.69e-04  |grad| 0.18  mem 57.4GB  tok/s 6,911
[04:53:14] step  1780/2000  ce 3.9512  lr 3.65e-04  |grad| 0.18  mem 57.4GB  tok/s 6,911
[04:54:49] step  1790/2000  ce 4.0653  lr 3.61e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[04:56:23] step  1800/2000  ce 3.7494  lr 3.57e-04  |grad| 0.18  mem 57.4GB  tok/s 6,911
[04:57:58] step  1810/2000  ce 3.9144  lr 3.54e-04  |grad| 0.17  mem 57.4GB  tok/s 6,911
